UMAP1,UMAP2,Group,Sensitivity,Intensity_LowerQuartileIntensity_pLCK,pLCK_x_AreaShape_Area,subtype
7.18202,8.719357,SJ65,1,-0.008738519,-1.46627883,TAL1 DP-like with LMO2::TRB
11.323841,7.607252,SJ65,1,-0.005717232,-0.751577701,TAL1 DP-like with LMO2::TRB
11.411117,8.879339,SJ65,1,-0.001109008,0.938719626,TAL1 DP-like with LMO2::TRB
8.510606,13.473055,SJ65,1,0.001393472,1.645643222,TAL1 DP-like with LMO2::TRB
11.610646,10.673348,SJ65,1,0.003102483,5.673408792,TAL1 DP-like with LMO2::TRB
9.385305,8.259503,SJ65,1,0.000264304,1.129505344,TAL1 DP-like with LMO2::TRB
8.408836,13.263526,SJ65,1,-0.000666496,1.425025701,TAL1 DP-like with LMO2::TRB
11.579841,5.515257,SJ65,1,-0.006266557,-1.058582638,TAL1 DP-like with LMO2::TRB
8.638516,11.314997,SJ65,1,-0.004176071,0.676854299,TAL1 DP-like with LMO2::TRB
9.013516,12.330339,SJ65,1,0.005360818,5.93808419,TAL1 DP-like with LMO2::TRB
10.2994995,6.4467015,SJ65,1,-0.005930859,-1.421061246,TAL1 DP-like with LMO2::TRB
11.427994,5.0883355,SJ65,1,-0.003397861,-0.8127696,TAL1 DP-like with LMO2::TRB
8.285756,8.163534,SJ65,1,-0.007075285,-4.447851515,TAL1 DP-like with LMO2::TRB
9.524293,13.413323,SJ65,1,0.00813796,9.23461196,TAL1 DP-like with LMO2::TRB
11.322212,12.224102,SJ65,1,0.002263236,10.12316985,TAL1 DP-like with LMO2::TRB
11.465221,9.08613,SJ65,1,-0.00060546,1.84498035,TAL1 DP-like with LMO2::TRB
12.78343,10.050002,SJ65,1,0.003026187,2.306943765,TAL1 DP-like with LMO2::TRB
12.633473,10.018646,SJ65,1,0.002278495,4.90068192,TAL1 DP-like with LMO2::TRB
11.772808,13.055682,SJ65,1,0.015096073,13.07019,TAL1 DP-like with LMO2::TRB
7.138107,10.479762,SJ65,1,-0.007243135,-2.389819212,TAL1 DP-like with LMO2::TRB
10.917389,4.076784,SJ65,1,-0.007060026,-2.550042935,TAL1 DP-like with LMO2::TRB
8.479185,13.274103,SJ65,1,0.007710707,6.805917134,TAL1 DP-like with LMO2::TRB
8.4737835,6.322487,SJ65,1,-0.005106872,-1.436911109,TAL1 DP-like with LMO2::TRB
9.701666,5.355401,SJ65,1,-0.003275789,-0.975877272,TAL1 DP-like with LMO2::TRB
7.929489,9.174052,SJ65,1,-0.003596228,-0.930991743,TAL1 DP-like with LMO2::TRB
8.883724,13.97238,SJ65,1,0.007283454,3.425557614,TAL1 DP-like with LMO2::TRB
10.353925,13.64664,SJ65,1,0.012227378,9.212042664,TAL1 DP-like with LMO2::TRB
8.411763,12.832366,SJ65,1,0.001912279,4.50934816,TAL1 DP-like with LMO2::TRB
11.395772,7.022358,SJ65,1,-0.002253434,0.61000067,TAL1 DP-like with LMO2::TRB
12.199777,10.119221,SJ65,1,0.00017275,2.3567371,TAL1 DP-like with LMO2::TRB
10.205063,5.357577,SJ65,1,-0.002573874,0.035956571,TAL1 DP-like with LMO2::TRB
9.267605,13.783439,SJ65,1,0.017201819,15.52376947,TAL1 DP-like with LMO2::TRB
10.308562,5.4270105,SJ65,1,-0.005045835,-0.985903842,TAL1 DP-like with LMO2::TRB
10.796513,12.252478,SJ65,1,0.002583676,3.67295384,TAL1 DP-like with LMO2::TRB
8.570479,13.500644,SJ65,1,0.005513409,3.183411456,TAL1 DP-like with LMO2::TRB
7.4554796,9.824885,SJ65,1,-0.001444706,-0.222045153,TAL1 DP-like with LMO2::TRB
12.135895,12.615351,SJ65,1,0.006001697,3.730306008,TAL1 DP-like with LMO2::TRB
10.389958,10.114833,SJ65,1,0.002583676,2.409587848,TAL1 DP-like with LMO2::TRB
9.512225,13.928805,SJ65,1,0.008870393,6.79804944,TAL1 DP-like with LMO2::TRB
12.299826,11.811181,SJ65,1,0.00658154,8.24504506,TAL1 DP-like with LMO2::TRB
9.334305,13.272238,SJ65,1,0.008687285,8.561049588,TAL1 DP-like with LMO2::TRB
8.4538355,14.072888,SJ65,1,0.00874832,3.310709472,TAL1 DP-like with LMO2::TRB
9.665138,13.047865,SJ65,1,0.001423991,1.062377144,TAL1 DP-like with LMO2::TRB
11.405577,13.584638,SJ65,1,0.002034352,3.67280241,TAL1 DP-like with LMO2::TRB
12.569701,5.9175596,SJ65,1,-0.002421284,0.589507476,TAL1 DP-like with LMO2::TRB
8.716649,13.185158,SJ65,1,0.000508449,1.31862854,TAL1 DP-like with LMO2::TRB
11.681106,12.607112,SJ65,1,0.001393472,2.792745498,TAL1 DP-like with LMO2::TRB
8.500461,12.29674,SJ65,1,0.002446345,2.604938875,TAL1 DP-like with LMO2::TRB
9.433812,14.389802,SJ65,1,0.015645399,12.24212182,TAL1 DP-like with LMO2::TRB
9.393304,13.727784,SJ65,1,0.016133688,12.6176237,TAL1 DP-like with LMO2::TRB
10.37634,5.23499,SJ65,1,-0.00419133,-0.265542447,TAL1 DP-like with LMO2::TRB
10.662661,11.104287,SJ65,1,-0.000269762,0.42038618,TAL1 DP-like with LMO2::TRB
12.554131,6.499237,SJ65,1,-0.004130294,0.62624151,TAL1 DP-like with LMO2::TRB
13.228888,10.308037,SJ65,1,0.001790206,3.412433831,TAL1 DP-like with LMO2::TRB
10.305407,12.717823,SJ65,1,0.000935701,1.482093831,TAL1 DP-like with LMO2::TRB
10.167254,14.312919,SJ65,1,0.01047259,13.80103314,TAL1 DP-like with LMO2::TRB
12.855501,9.99455,SJ65,1,0.004460535,5.026965798,TAL1 DP-like with LMO2::TRB
8.674977,13.068388,SJ65,1,0.002614194,0.83712847,TAL1 DP-like with LMO2::TRB
9.460536,5.8397174,SJ65,1,-0.004557547,0.28401614,TAL1 DP-like with LMO2::TRB
8.328238,13.116466,SJ65,1,-0.000895381,0.970082016,TAL1 DP-like with LMO2::TRB
8.714898,13.165053,SJ65,1,0.0053303,5.010074302,TAL1 DP-like with LMO2::TRB
11.971501,12.67111,SJ65,1,0.007649671,6.23025324,TAL1 DP-like with LMO2::TRB
9.199349,9.415915,SJ65,1,0.000630522,2.858680362,TAL1 DP-like with LMO2::TRB
11.60843,12.105824,SJ65,1,0.003529736,1.885967865,TAL1 DP-like with LMO2::TRB
12.317738,12.147229,SJ65,1,0.009297646,12.86356786,TAL1 DP-like with LMO2::TRB
8.418814,12.6267605,SJ65,1,0.005467631,2.394333675,TAL1 DP-like with LMO2::TRB
10.718329,5.99374,SJ65,1,-0.003703041,-0.612564008,TAL1 DP-like with LMO2::TRB
8.242721,13.444866,SJ65,1,0.007527599,3.59699184,TAL1 DP-like with LMO2::TRB
11.845094,6.5906425,SJ65,1,-0.000468129,0.330511608,TAL1 DP-like with LMO2::TRB
12.218296,6.851073,SJ65,1,-0.004298143,-0.622962422,TAL1 DP-like with LMO2::TRB
9.206354,14.10285,SJ65,1,0.007405527,5.337885,TAL1 DP-like with LMO2::TRB
11.659747,13.2857895,SJ65,1,0.017415447,10.51187907,TAL1 DP-like with LMO2::TRB
10.794298,14.060473,SJ65,1,0.007954852,9.69834594,TAL1 DP-like with LMO2::TRB
9.90284,8.617508,SJ65,1,-0.000346057,2.05504208,TAL1 DP-like with LMO2::TRB
11.5056925,7.88512,SJ65,1,0.000691557,4.819240824,TAL1 DP-like with LMO2::TRB
12.09839,12.73747,SJ65,1,0.004826752,4.271057043,TAL1 DP-like with LMO2::TRB
10.64901,9.377074,SJ65,1,0.001607098,0.865352955,TAL1 DP-like with LMO2::TRB
8.539618,13.549803,SJ65,1,0.011830643,6.76084123,TAL1 DP-like with LMO2::TRB
10.372937,13.161452,SJ65,1,0.00096622,2.571135156,TAL1 DP-like with LMO2::TRB
9.362881,14.034671,SJ65,1,0.011952715,7.769467755,TAL1 DP-like with LMO2::TRB
11.041629,9.923878,SJ65,1,0.000508449,1.955499912,TAL1 DP-like with LMO2::TRB
9.869477,13.184127,SJ65,1,0.00783278,7.896664396,TAL1 DP-like with LMO2::TRB
8.774613,12.974604,SJ65,1,0.001332436,1.576836144,TAL1 DP-like with LMO2::TRB
9.510115,12.640281,SJ65,1,0.001851243,1.054130285,TAL1 DP-like with LMO2::TRB
10.259775,14.300438,SJ65,1,0.006184805,11.28741964,TAL1 DP-like with LMO2::TRB
8.61413,13.550018,SJ65,1,0.000203268,0.82655067,TAL1 DP-like with LMO2::TRB
13.214303,10.419883,SJ65,1,0.002766785,3.465371047,TAL1 DP-like with LMO2::TRB
10.706976,6.547863,SJ65,1,-0.004496511,-1.199190096,TAL1 DP-like with LMO2::TRB
8.766568,13.992772,SJ65,1,0.013081884,5.7695176,TAL1 DP-like with LMO2::TRB
10.166638,14.204706,SJ65,1,0.009755416,12.37448467,TAL1 DP-like with LMO2::TRB
8.1819935,10.531508,SJ65,1,-0.007304171,-1.350788864,TAL1 DP-like with LMO2::TRB
11.707477,6.1794853,SJ65,1,-0.001627815,1.074106166,TAL1 DP-like with LMO2::TRB
7.950498,10.601847,SJ65,1,-0.000330798,0.141059101,TAL1 DP-like with LMO2::TRB
11.775647,11.412635,SJ65,1,-0.005534124,4.928972574,TAL1 DP-like with LMO2::TRB
11.257507,12.2760315,SJ65,1,0.000813629,1.83288448,TAL1 DP-like with LMO2::TRB
