UMAP1,UMAP2,Group,Sensitivity,Intensity_UpperQuartileIntensity_pBCL2,Intensity_MinIntensityEdge_BCL_2,subtype
4.3543878,3.7914777,SJ65,0,0.075812326,0.006357569,TAL1 DP-like with LMO2::TRB
4.884839,4.1557503,SJ65,0,-0.001924767,0.008005544,TAL1 DP-like with LMO2::TRB
5.482299,1.9597485,SJ65,0,0.013097734,0.000437069,TAL1 DP-like with LMO2::TRB
1.6399602,-0.1579239,SJ65,0,0.03284292,0.002207115,TAL1 DP-like with LMO2::TRB
-0.31048504,1.4602225,SJ65,0,0.046347157,-0.001577122,TAL1 DP-like with LMO2::TRB
-0.8543949,2.0193608,SJ65,0,0.097815835,-0.002248519,TAL1 DP-like with LMO2::TRB
4.8293233,-0.2967135,SJ65,0,-0.036410163,-0.002431627,TAL1 DP-like with LMO2::TRB
5.6330576,3.8603477,SJ65,0,-0.011942319,0.001962971,TAL1 DP-like with LMO2::TRB
1.1271347,0.37359107,SJ65,0,0.077132226,-0.001943339,TAL1 DP-like with LMO2::TRB
0.06564648,3.9230993,SJ65,0,0.111835048,0.001169502,TAL1 DP-like with LMO2::TRB
1.2648247,1.1941043,SJ65,0,0.052755938,0.000620177,TAL1 DP-like with LMO2::TRB
5.8152375,4.2862782,SJ65,0,-0.083064615,0.002146079,TAL1 DP-like with LMO2::TRB
2.3053539,4.1060233,SJ65,0,0.092223392,-0.00285888,TAL1 DP-like with LMO2::TRB
5.395316,0.6111938,SJ65,0,0.04219287,0.00806658,TAL1 DP-like with LMO2::TRB
1.3322349,4.6765695,SJ65,0,0.101775543,-0.002370591,TAL1 DP-like with LMO2::TRB
6.1392913,1.3366157,SJ65,0,0.076743127,0.001169502,TAL1 DP-like with LMO2::TRB
5.691922,0.21022564,SJ65,0,-0.051440294,-0.00279788,TAL1 DP-like with LMO2::TRB
3.0962427,-0.4677205,SJ65,0,-0.00510627,-0.002614736,TAL1 DP-like with LMO2::TRB
2.1885953,6.0217934,SJ65,0,0.148033277,-0.000966761,TAL1 DP-like with LMO2::TRB
3.7906702,5.0565786,SJ65,0,0.037206993,-0.002004375,TAL1 DP-like with LMO2::TRB
7.9667573,2.7049599,SJ65,0,-0.099666431,0.002817476,TAL1 DP-like with LMO2::TRB
-0.63005906,1.8336818,SJ65,0,0.158127115,-0.002431627,TAL1 DP-like with LMO2::TRB
2.38883,2.0480103,SJ65,0,0.130271778,0.0055641,TAL1 DP-like with LMO2::TRB
5.118582,0.8863864,SJ65,0,-0.033407952,-0.00285888,TAL1 DP-like with LMO2::TRB
5.173214,1.0715584,SJ65,0,-0.004373848,0.000620177,TAL1 DP-like with LMO2::TRB
3.8385916,4.8825684,SJ65,0,0.041159079,-0.001271942,TAL1 DP-like with LMO2::TRB
-0.3562877,5.8085566,SJ65,0,0.108340726,-0.00285888,TAL1 DP-like with LMO2::TRB
5.68765,0.71122605,SJ65,0,-0.039347521,-0.00285888,TAL1 DP-like with LMO2::TRB
5.7703037,0.10049768,SJ65,0,-0.069331496,-0.001577122,TAL1 DP-like with LMO2::TRB
3.240423,4.6794996,SJ65,0,0.141906776,-0.001210906,TAL1 DP-like with LMO2::TRB
6.3263197,0.33459288,SJ65,0,-0.054804906,0.001108466,TAL1 DP-like with LMO2::TRB
4.150442,-0.1639874,SJ65,0,-0.00365667,0.000925357,TAL1 DP-like with LMO2::TRB
5.5246873,0.13224554,SJ65,0,-0.031565416,0.010141807,TAL1 DP-like with LMO2::TRB
6.978449,1.7605925,SJ65,0,-0.002062104,0.001291574,TAL1 DP-like with LMO2::TRB
2.854318,2.1088283,SJ65,0,0.042612509,0.002573332,TAL1 DP-like with LMO2::TRB
6.6107764,1.3121821,SJ65,0,-0.101024493,0.001535718,TAL1 DP-like with LMO2::TRB
4.432308,4.567417,SJ65,0,0.070799724,0.001535718,TAL1 DP-like with LMO2::TRB
6.6280437,1.6106118,SJ65,0,-0.113079115,0.001108466,TAL1 DP-like with LMO2::TRB
1.3050143,0.43956035,SJ65,0,0.043562368,-0.000539509,TAL1 DP-like with LMO2::TRB
5.302199,1.9369643,SJ65,0,-0.071940794,-0.00285888,TAL1 DP-like with LMO2::TRB
4.0245748,-0.6850832,SJ65,0,-0.014204468,0.002634368,TAL1 DP-like with LMO2::TRB
5.455255,3.1732128,SJ65,0,-0.047671317,-0.00279788,TAL1 DP-like with LMO2::TRB
